id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
41793918;Lujosa habitación con mucho sol;330215005;Jorge;Sant Martí;el Clot;41,40969;2,18902;Private room;56;1;0;;;1;0;0;Exempt
41832988;Charming Loft in Barcelona;330229149;Dita;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38587;2,18107;Entire home/apt;50;1;17;17/08/2020;0,54;1;0;0;Exempt
41798745;tranquilidad y buena onda !;330254525;John;Nou Barris;Ciutat Meridiana;41,46267;2,16727;Private room;49;30;1;22/05/2022;0,27;1;179;1;
43647607;Luxury apartment with rooftop pool, gym, concierge;330330852;Viola;Eixample;la Dreta de l'Eixample;41,39199;2,1751;Entire home/apt;533;32;0;;;8;179;0;
6,84579E+17;A stunning space on thoroughfare Av. Diagonal;330330852;Viola;Gràcia;la Vila de Gràcia;41,3981668;2,161117462;Entire home/apt;266;32;0;;;8;363;0;
6,85388E+17;Minimal style open plan apartment with terrace;330330852;Viola;Sant Martí;la Vila Olímpica del Poblenou;41,39097011;2,190871449;Entire home/apt;130;32;0;;;8;364;0;
6,8543E+17;Modern apartment with rooftop pool;330330852;Viola;Eixample;la Dreta de l'Eixample;41,39027777;2,171207607;Entire home/apt;209;32;0;;;8;344;0;
6,86609E+17;Comfortable apartment near the beach and the port;330330852;Viola;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38324905;2,180467155;Entire home/apt;193;32;0;;;8;363;0;
6,89491E+17;Beautiful and calm penthouse with private terrace;330330852;Viola;Eixample;la Dreta de l'Eixample;41,39198861;2,176123478;Entire home/apt;385;32;0;;;8;365;0;
6,90225E+17;Modern loft with private terrace and rooftop pool;330330852;Viola;Eixample;la Dreta de l'Eixample;41,39081;2,17698;Entire home/apt;580;32;0;;;8;365;0;
6,9026E+17;Modern apartment with rooftop pool and concierge;330330852;Viola;Eixample;la Dreta de l'Eixample;41,39046248;2,175719316;Entire home/apt;290;32;0;;;8;268;0;
41808556;Habitación individual en Barcelona;330352195;Ismael;Nou Barris;Porta;41,43417;2,17322;Private room;22;1;0;;;1;0;0;Exempt
45493791;"HABITACIÓN para una¡¡¡MUJER!! ""SOLO MUJERES """;330824410;Mayi Janeth;Nou Barris;la Prosperitat;41,44378;2,18424;Private room;14;31;25;28/08/2022;1,1;2;307;24;Exempt
51926429;"Habitación, SOLO ¡¡ MUJERES!! ""SOLO MUJERES""";330824410;Mayi Janeth;Nou Barris;la Prosperitat;41,44408;2,18532;Private room;14;31;21;23/08/2022;2,81;2;333;21;Exempt
50451564;♥ AUTHENTIC EIXAMPLE CITY CENTER ♥ | SUNNY BALCONY;330874832;Michael & Farhad;Eixample;Sant Antoni;41,38134;2,15963;Entire home/apt;242;3;96;10/09/2022;6,76;3;50;80;HUTB-005442
50494387;♥ HUGE SUNNY ROOFTOP TERRACE ♥ | CITY CENTER | BBQ;330874832;Michael & Farhad;Eixample;Sant Antoni;41,382137;2,160517;Entire home/apt;219;3;97;31/08/2022;7,05;3;108;84;HUTB-005441
5,83184E+17;♥ BEACHSIDE SUNNY MODERN WITH POOL ♥ | PARKING 24H;330874832;Michael & Farhad;Sant Martí;la Vila Olímpica del Poblenou;41,391651;2,193947;Entire home/apt;431;3;27;14/08/2022;5,16;3;40;27;HUTB-010945
41855443;Habitación en una zona tranquila de Sants;330875165;Javier;Sants-Montjuïc;Sants;41,37862;2,13274;Private room;34;1;0;;;1;0;0;Exempt
6,83892E+17;Habitación Santa Coloma;330885381;Olga;Sant Andreu;la Trinitat Vella;41,45876;2,20345;Private room;40;3;1;04/08/2022;0,79;1;364;1;Exempt
41867650;Sunny room near Parc Güell;331077104;Jordi;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;41,41132;2,13062;Private room;52;2;1;17/02/2020;0,03;1;0;0;Exempt
41868287;Charming apartment at the heart of Eixample;331083671;Mai & Maud;Eixample;la Nova Esquerra de l'Eixample;41,38189;2,15413;Entire home/apt;261;3;29;29/08/2022;2,13;1;106;26;HUTB-006490
41871724;Habitación individual con baño privado Barcelona;331100321;Marta;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,40233;2,13953;Private room;30;3;0;;;1;0;0;Exempt
6,98584E+17;Habitación en centro de Barcelona;331115364;Sou;Ciutat Vella;el Raval;41,37678311;2,173438461;Private room;36;1;0;;;1;322;0;Exempt
5,33062E+17;Habitación doble privada en el Born;331150082;Julián;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38507;2,18285;Private room;199;31;28;15/08/2022;3,96;1;176;28;Exempt
41881686;single bedroom;331181486;Galin;Sants-Montjuïc;Sants - Badal;41,37551;2,12483;Private room;55;1;0;;;1;0;0;Exempt
41897708;Habitación doble en Badal;331312852;Sergio;Sants-Montjuïc;Sants - Badal;41,37402;2,12565;Private room;37;1;0;;;1;0;0;Exempt
21329919;Sweet Inn | Contemporary Apt. near Plaza Espana;331327228;Sweet Inn;Eixample;Sant Antoni;41,37519;2,15468;Entire home/apt;194;2;63;15/08/2022;1,08;1;181;21;HUTB-002576
41904837;Cozy&Nice next to PASEO DE GRACIA -20%OFF!!;331364806;Sebastian;Eixample;la Dreta de l'Eixample;41,39552;2,1689;Private room;30;1;0;;;2;0;0;Exempt
41905385;Amazing apartment in the city's center -20%OFF!!;331364806;Sebastian;Eixample;la Dreta de l'Eixample;41,39592;2,16703;Private room;30;1;3;29/02/2020;0,1;2;0;0;Exempt
41906788;Habitación con balcón en el centro;331379242;Jaume;Ciutat Vella;el Raval;41,3789;2,17102;Private room;36;1;0;;;1;0;0;Exempt
42458337;Pleno centro Barcelona;331733405;Laura;Eixample;el Fort Pienc;41,39785;2,1789;Private room;25;7;0;;;1;0;0;Exempt
41948303;Habitación cerca del Nou Camp;331960294;Pere;Sants-Montjuïc;Sants - Badal;41,37392;2,12463;Private room;21;1;0;;;1;0;0;Exempt
6,20169E+17;Industrial Studio Loft;331983258;Jhonny;Sant Andreu;el Bon Pastor;41,44158;2,22417;Entire home/apt;69;31;11;29/08/2022;2,84;1;359;11;Exempt
